id,service_recordid,taxonomy_recordid,taxonomy_id,taxonomy_detail
8372,8348,8372,RX-8450.1150-180,
8373,8348,8373,RX-8450.8000,
8374,8350,8374,PL-6400.1500-820,
8375,8352,8375,PN-8100.3000,
8376,8353,8376,RF-2000,
8377,8353,8377,RF-3300,
8378,8354,8378,RP-6400.8000-620,
8379,8355,8379,RF-3300,
8380,8355,8380,RF-2000,
8381,8355,8381,RP-5000.1500,
8382,8355,8382,LH-2700.5000-450,
8383,8355,8383,PH-1000,
8384,8355,8384,RP-1500.1400-250,
8385,8355,8385,RP-1500.3300,
8386,8356,8386,RF-3300,
8387,8356,8387,LT-0500.3100,
8388,8356,8388,PH-6100.1550,
8389,8357,8389,PH-1250.1800,
8390,8361,8390,PH-1250.1800,
8391,8362,8391,PH-1250.1800,
8392,8363,8392,PH-1250.1800,
8393,8364,8393,PH-1250.1800,
8394,8366,8394,PH-1250.1800,
8395,8367,8395,HL-8700.8000,
8396,8367,8396,HH-0500.2500-250,
8397,8367,8397,RF-3300,
8398,8367,8398,RF-2000,
8399,8367,8399,RF-2500,
8400,8367,8400,RD-6200,
8401,8367,8401,PH-3300.2750-250,
8402,8367,8402,FF-1900,
8403,8367,8403,RP-1400.8000-100,
8404,8368,8404,PL-6400.1500-820,
8405,8371,8405,PL-6400.1500-820,
8406,8372,8406,RP-1500.1400-300,
8407,8372,8407,BH-1800.1500-308,
8408,8372,8408,RM-7000.0500,
8409,8374,8409,DT-8800.9300-930,
8410,8376,8410,PH-6300.8500,
8411,8376,8411,PH-1000,
8412,8376,8412,RM-6500.1500,
8413,8376,8413,PH-2360.2350,
8414,8376,8414,RF-3300,
8415,8376,8415,RF-2000,
8416,8377,8416,PL-6400.1500-820,
8417,8379,8417,HD-1800.3000-350,
8418,8379,8418,LH-2700.6000,
8419,8379,8419,LV-6800,
8420,8379,8420,PH-1250,
8421,8379,8421,PH-6100,
8422,8380,8422,RP-1500.1400-260,
8423,8381,8423,PS-8200.0550-650,
8424,8382,8424,PN-8100.3000,
8425,8383,8425,HH-4500.9500,
8426,8384,8426,TD-1100.1400,
8427,8384,8427,BH-3800.7000,
8428,8385,8428,TD-1100.1400,
8429,8385,8429,BH-3800.7000,
8430,8387,8430,BH-3800.7000,
8431,8387,8431,TD-1100.1400,
8432,8388,8432,TD-1100.1400,
8433,8388,8433,BH-3800.7000,
8434,8389,8434,TD-1100.1400,
8435,8389,8435,BH-3800.7000,
8436,8390,8436,TD-1100.1400,
8437,8390,8437,BH-3800.7000,
8438,8391,8438,TD-1100.1400,
8439,8391,8439,BH-3800.7000,
